URL,OBJECTID,NAME,the_geom,lon,lat
http://web.mta.info/nyct/service/,240,82nd St - Jackson Hts,POINT,-73.8837,40.75
http://web.mta.info/nyct/service/,241,90th St - Elmhurst Av,POINT,-73.87661,40.75
http://web.mta.info/nyct/service/,242,Howard Beach - JFK Airport,POINT,-73.8303,40.66
http://web.mta.info/nyct/service/,243,Aqueduct - North Conduit Av,POINT,-73.83406,40.67
http://web.mta.info/nyct/service/,244,Briarwood - Van Wyck Blvd,POINT,-73.82069,40.71
http://web.mta.info/nyct/service/,245,Forest Hills - 71st Av,POINT,-73.84452,40.72
http://web.mta.info/nyct/service/,246,Sutphin Blvd,POINT,-73.81083,40.71
http://web.mta.info/nyct/service/,247,Jamaica Ctr - Parsons / Archer,POINT,-73.8011,40.7
http://web.mta.info/nyct/service/,248,225th St,POINT,-73.86021,40.89
http://web.mta.info/nyct/service/,249,Elder Ave,POINT,-73.87916,40.83
http://web.mta.info/nyct/service/,250,Longwood Ave,POINT,-73.89643,40.82
http://web.mta.info/nyct/service/,251,Astoria Blvd,POINT,-73.9181,40.77
http://web.mta.info/nyct/service/,252,Astoria - Ditmars Blvd,POINT,-73.91203,40.78
http://web.mta.info/nyct/service/,253,Jackson Ave,POINT,-73.9077,40.82
http://web.mta.info/nyct/service/,254,Prospect Ave,POINT,-73.90178,40.82
http://web.mta.info/nyct/service/,255,Cypress Ave,POINT,-73.91404,40.81
http://web.mta.info/nyct/service/,256,174th St,POINT,-73.88769,40.84
http://web.mta.info/nyct/service/,257,Allerton Ave,POINT,-73.86723,40.87
http://web.mta.info/nyct/service/,258,E 143rd St - St Mary's St,POINT,-73.90766,40.81
http://web.mta.info/nyct/service/,259,Kingsbridge Rd,POINT,-73.89717,40.87
http://web.mta.info/nyct/service/,260,Bedford Park Blvd - Lehman College,POINT,-73.89006,40.87
http://web.mta.info/nyct/service/,261,Harlem - 148 St,POINT,-73.93647,40.82
http://web.mta.info/nyct/service/,262,Mt Eden Ave,POINT,-73.91468,40.84
http://web.mta.info/nyct/service/,263,Fordham Rd,POINT,-73.89775,40.86
http://web.mta.info/nyct/service/,264,170th St,POINT,-73.91779,40.84
http://web.mta.info/nyct/service/,265,Bedford Park Blvd,POINT,-73.88714,40.87
http://web.mta.info/nyct/service/,266,Marble Hill - 225th St,POINT,-73.90983,40.87
http://web.mta.info/nyct/service/,267,231st St,POINT,-73.90483,40.88
http://web.mta.info/nyct/service/,268,215th St,POINT,-73.91528,40.87
http://web.mta.info/nyct/service/,269,207th St,POINT,-73.91882,40.86
http://web.mta.info/nyct/service/,270,Inwood - 207th St,POINT,-73.9199,40.87
http://web.mta.info/nyct/service/,271,Van Cortlandt Park - 242nd St,POINT,-73.89858,40.89
http://web.mta.info/nyct/service/,272,West Farms Sq - E Tremont Av,POINT,-73.87996,40.84
http://web.mta.info/nyct/service/,273,219th St,POINT,-73.86251,40.88
http://web.mta.info/nyct/service/,274,Mosholu Pkwy,POINT,-73.88465,40.88
http://web.mta.info/nyct/service/,275,Norwood - 205th St,POINT,-73.87885,40.87
http://web.mta.info/nyct/service/,276,Burke Ave,POINT,-73.86705,40.87
http://web.mta.info/nyct/service/,277,Baychester Ave,POINT,-73.83859,40.88
http://web.mta.info/nyct/service/,278,Eastchester - Dyre Ave,POINT,-73.83083,40.89
http://web.mta.info/nyct/service/,279,Jamaica - 179th St,POINT,-73.78382,40.71
http://web.mta.info/nyct/service/,280,Wakefield - 241st St,POINT,-73.85062,40.9
http://web.mta.info/nyct/service/,281,Botanic Garden,POINT,-73.95924,40.67
http://web.mta.info/nyct/service/,282,Bushwick - Aberdeen,POINT,-73.90526,40.68
http://web.mta.info/nyct/service/,283,Broadway Junction,POINT,-73.90312,40.68
http://web.mta.info/nyct/service/,284,Gun Hill Rd,POINT,-73.84638,40.87
http://web.mta.info/nyct/service/,285,E 180th St,POINT,-73.87335,40.84
http://web.mta.info/nyct/service/,286,Dyckman St,POINT,-73.92554,40.86
http://web.mta.info/nyct/service/,287,125th St,POINT,-73.95837,40.82
http://web.mta.info/nyct/service/,288,Franklin Ave - Fulton St,POINT,-73.95583,40.68
http://web.mta.info/nyct/service/,289,149th St - Grand Concourse,POINT,-73.92672,40.82
http://web.mta.info/nyct/service/,290,3rd Ave - 149th St,POINT,-73.91779,40.82
http://web.mta.info/nyct/service/,291,167th St,POINT,-73.9214,40.84
http://web.mta.info/nyct/service/,292,Brook Ave,POINT,-73.91924,40.81
http://web.mta.info/nyct/service/,293,33rd St,POINT,-73.931,40.74
http://web.mta.info/nyct/service/,294,40th St,POINT,-73.92402,40.74
http://web.mta.info/nyct/service/,295,145th St,POINT,-73.94409,40.82
http://web.mta.info/nyct/service/,296,155th St,POINT,-73.93821,40.83
http://web.mta.info/nyct/service/,297,161st St - Yankee Stadium,POINT,-73.92565,40.83
http://web.mta.info/nyct/service/,298,Utica Ave,POINT,-73.93073,40.68
http://web.mta.info/nyct/service/,299,Steinway St,POINT,-73.92053,40.76
http://web.mta.info/nyct/service/,300,Kosciuszko St,POINT,-73.92851,40.69
http://web.mta.info/nyct/service/,301,Gates Ave,POINT,-73.92216,40.69
http://web.mta.info/nyct/service/,302,Central Ave,POINT,-73.92724,40.7
http://web.mta.info/nyct/service/,303,Knickerbocker Ave,POINT,-73.91972,40.7
http://web.mta.info/nyct/service/,304,30th Ave,POINT,-73.92148,40.77
http://web.mta.info/nyct/service/,305,Jefferson St,POINT,-73.92291,40.71
http://web.mta.info/nyct/service/,306,Morgan Ave,POINT,-73.93315,40.71
http://web.mta.info/nyct/service/,307,Queens Plz,POINT,-73.93714,40.75
http://web.mta.info/nyct/service/,308,18th Ave,POINT,-73.97697,40.63
http://web.mta.info/nyct/service/,309,77th St,POINT,-74.02551,40.63
http://web.mta.info/nyct/service/,310,Bay Ridge Ave,POINT,-74.02338,40.63
http://web.mta.info/nyct/service/,311,50th St,POINT,-73.99466,40.64
http://web.mta.info/nyct/service/,312,Ft Hamilton Pkwy,POINT,-74.00535,40.63
http://web.mta.info/nyct/service/,313,25th Ave,POINT,-73.98683,40.6
http://web.mta.info/nyct/service/,314,Bay Pky,POINT,-73.99368,40.6
http://web.mta.info/nyct/service/,315,20th Ave,POINT,-73.98452,40.62
http://web.mta.info/nyct/service/,316,18th Ave,POINT,-73.99045,40.62
http://web.mta.info/nyct/service/,317,Bay Ridge - 95th St,POINT,-74.03088,40.62
http://web.mta.info/nyct/service/,318,86th St,POINT,-74.0284,40.62
http://web.mta.info/nyct/service/,319,79th St,POINT,-74.00058,40.61
http://web.mta.info/nyct/service/,320,71st St,POINT,-73.99884,40.62
http://web.mta.info/nyct/service/,321,20th Ave,POINT,-73.99817,40.6
http://web.mta.info/nyct/service/,322,18th Ave,POINT,-74.00159,40.61
http://web.mta.info/nyct/service/,323,62nd St,POINT,-73.99686,40.63
http://web.mta.info/nyct/service/,324,New Utrecht Ave,POINT,-73.99635,40.62
http://web.mta.info/nyct/service/,325,Ave U,POINT,-73.97338,40.6
http://web.mta.info/nyct/service/,326,Kings Hwy,POINT,-73.97236,40.6
http://web.mta.info/nyct/service/,327,Brighton Beach,POINT,-73.96135,40.58
http://web.mta.info/nyct/service/,328,Sheepshead Bay,POINT,-73.95406,40.59
